ID,X,Y,SIGLA,SIGLA_MOD,OBS,TYPE,SUBTYPE,FORM_PROD,PROF2,PROF,HIGH,CLAS,SUBCLAS,FLUID,START_DRIL,END_DRILL,START_TERM,END_TERM,FR_fr_quan,FR_sand_mt,FR_inj_w_m,FR_inj_co2,FR_w+s,FR_fr_star,FR_fr_end
94861,-69.113253999999998,-38.317385999999999,TAU.Nq.APIg-112(h),TAU.NQ.APIG-112,,NO CONVENCIONAL,SHALE,vaca muerta,,4185,343,EXPLOTACION,DESARROLLO,Gasifero,30/04/2015,24/08/2015,27/11/2015,17/01/2016,10,1892,25010,0,25767,11/27/15,01/17/16
96004,-69.014938999999998,-38.131605999999998,YPF.Nq.LCav.x-11(h),YPF.NQ.LCAV.X-11,,NO CONVENCIONAL,SHALE,vaca muerta,,3933,224,EXPLORACION,EXPLORACION,Petrolifero,27/05/2016,13/08/2016,08/12/2016,07/04/2017,11,2134,9611,0,10465,02/02/17,02/12/17
87056,-68.852699999999999,-38.294100000000000,YPF.Nq.LLL-534(h),YPF.NQ.LLL-534,,NO CONVENCIONAL,SHALE,vaca muerta,,4413,494,EXPLOTACION,DESARROLLO,Otro tipo,25/01/2012,25/03/2012,09/05/2012,02/06/2012,11,2221,14108,0,14997,05/13/12,05/26/12
94693,-68.870022000000006,-38.707715000000000,YPF.Nq.BN-30(d),YPF.NQ.BN-30,,NO CONVENCIONAL,TIGHT,lajas,,3232,610,EXPLOTACION,DESARROLLO,Gasifero,04/02/2016,05/03/2016,10/03/2016,31/03/2016,11,811,2603,0,2927,03/17/16,03/25/16
94694,-68.885495000000006,-38.706510999999999,YPF.Nq.BN-34(d),YPF.NQ.BN-34,,NO CONVENCIONAL,TIGHT,lajas,,3330,587,EXPLOTACION,DESARROLLO,Gasifero,04/02/2016,06/03/2016,18/03/2016,08/04/2016,11,864,3774,0,4119,03/22/16,03/31/16
96839,-68.970578000000003,-38.749133999999998,YPF.Nq.Laj-200(d),YPF.NQ.LAJ-200,,NO CONVENCIONAL,TIGHT,lajas,,2937,534,EXPLOTACION,DESARROLLO,Gasifero,04/08/2017,04/09/2017,01/11/2017,04/12/2017,11,768,2973,0,3280,11/11/17,11/21/17
97231,-67.874270999999993,-39.012127999999997,YEA.RN.EFO-191(d),YEA.RN.EFO-191,,NO CONVENCIONAL,TIGHT,lajas,,4046,250,EXPLOTACION,DESARROLLO,Gasifero,04/09/2017,05/10/2017,02/12/2017,24/02/2018,11,1002,5690,0,6091,12/04/17,12/20/17
94818,-68.875304999999997,-38.712046999999998,YPF.Nq.BN-26(d),YPF.NQ.BN-26,,NO CONVENCIONAL,TIGHT,lajas,,3325,608,EXPLOTACION,DESARROLLO,Gasifero,05/03/2016,08/04/2016,12/04/2016,30/04/2016,11,1169,4038,0,4506,04/16/16,04/23/16
93629,-68.873835000000000,-38.753773000000002,YPF.Nq.Laj-112(d),YPF.NQ.LAJ-112,,NO CONVENCIONAL,TIGHT,lajas,,3190,795,EXPLOTACION,DESARROLLO,Gasifero,06/06/2015,17/07/2015,,,11,927,3861,0,4232,08/03/15,08/11/15
89422,-68.924565000000001,-38.753424000000003,YPF.Nq.Laj-35(d),YPF.NQ.LAJ-35,,NO CONVENCIONAL,TIGHT,lajas,,2692,540,EXPLOTACION,DESARROLLO,Gasifero,07/08/2013,14/09/2013,24/09/2013,12/11/2013,11,740,2812,0,3108,10/09/13,10/30/13
